spawn_yr,n_tags,n_tag_kelt_grs,n_tag_kelt_dwn,n_tag_kelt_grs_dwn,grs_kelt_det_p,grs_kelt_det_se,est_tag_kelt_lgr,kelt_rate
2010,4092,1,57,1,0.017543859649122806,0.017389285185380774,57,0.013929618768328446
2011,4709,40,124,10,0.08064516129032258,0.02445231027589979,496,0.10533021873009131
2012,4957,32,159,11,0.06918238993710692,0.02012479725429293,462.54545454545456,0.09331157041465696
2013,4416,20,155,2,0.012903225806451613,0.009064903099045929,1550,0.3509963768115942
2014,4489,24,197,6,0.030456852791878174,0.01224314433872869,788,0.1755402094007574
2015,4772,14,167,4,0.023952095808383235,0.011831752902049015,584.5,0.12248533109807208
2016,5004,47,232,18,0.07758620689655173,0.01756350391608008,605.7777777777777,0.1210587085886846
2017,4494,17,132,1,0.007575757575757576,0.007547006968906226,2244,0.4993324432576769
2018,2871,49,161,9,0.055900621118012424,0.018105237853810734,876.5555555555555,0.3053136731297651
2019,2404,62,173,8,0.046242774566473986,0.015966797262988868,1340.75,0.557716306156406
2020,2741,177,126,36,0.2857142857142857,0.04024544070135793,619.5,0.22601240423203212
2021,4094,303,175,70,0.4,0.03703280399090206,757.5,0.18502686858817782
2022,2305,198,115,39,0.3391304347826087,0.04414609963437781,583.8461538461539,0.25329551143000173
2023,3615,269,127,54,0.4251968503937008,0.043868494318491005,632.6481481481482,0.1750064033604836
2024,3779,180,138,36,0.2608695652173913,0.03737943276613457,690,0.18258798623974595
